user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
40168063,emm12,0.018867924528301886,18.0,1,0.0,1.0,53,0,0,5,1,0,0.4,0.0,0,0
32612095,eve_melinaa29,0.01694915254237288,23.0,1,0.0,1.0,59,0,0,13,1,1,0.15384615384615385,0.0,1,0
10046257,sebasguti08,0.014925373134328358,96.0,1,1.0,1.0,67,0,0,11,1,0,0.18181818181818182,0.0,0,1
28690141,Jostin_07,0.014705882352941176,18.0,1,0.0,1.0,68,0,0,9,1,1,0.2222222222222222,0.1111111111111111,1,0
59296384,maxi_carp4,0.10526315789473684,23.75,4,0.0,1.3333333333333333,38,0,0,10,1,1,0.1,0.0,1,0
10046257,sebasguti08,0.014925373134328358,96.0,1,1.0,1.0,67,0,0,11,1,0,0.18181818181818182,0.0,0,1
33338273,Nachouz33,0.01639344262295082,26.0,1,0.0,1.0,61,0,0,9,1,0,0.2222222222222222,0.1111111111111111,0,0
30738988,jeanpierrecbd,0.035555555555555556,17.25,8,0.0,4.0,225,0,0,13,0,0,0.0,0.0,0,0
47928002,Marianodez12,0.41935483870967744,20.0,13,0.0,13.0,31,0,0,12,1,0,0.16666666666666666,0.08333333333333333,0,0
32307708,YeferMD,0.011764705882352941,34.0,1,0.0,1.0,85,0,0,7,0,0,0.0,0.42857142857142855,0,0
79787633,randoman05,0.007575757575757576,40.0,1,0.0,1.0,132,0,0,10,1,0,0.2,0.0,0,0
42947447,burnsalan,0.06140350877192982,15.5,14,0.0,3.5,228,0,0,9,0,0,0.0,0.0,0,0
33915965,ValentinC96,0.045454545454545456,18.0,3,0.0,3.0,66,0,0,11,1,0,0.18181818181818182,0.18181818181818182,0,0
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
35094911,scrillx12,0.03296703296703297,18.0,3,0.0,3.0,91,0,0,9,1,0,0.2222222222222222,0.0,0,0
10046257,sebasguti08,0.014925373134328358,96.0,1,1.0,1.0,67,0,0,11,1,0,0.18181818181818182,0.0,0,1
41953640,Samuel_Rivera,0.2571428571428571,38.333333333333336,9,0.6666666666666666,1.2857142857142858,35,0,0,13,0,1,0.0,0.15384615384615385,1,0
64764396,benjiespin,0.7647058823529411,53.23076923076923,13,1.0,6.5,17,0,0,10,0,0,0.0,0.0,0,1
80625623,ariadnaa00,0.04395604395604396,69.0,4,1.0,4.0,91,0,0,10,1,0,0.2,0.0,0,1
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
77828693,chimichuriii,0.03571428571428571,6.0,1,0.0,1.0,28,0,0,12,0,0,0.0,0.0,0,0
46009461,TraxXxxA,0.007518796992481203,14.0,1,0.0,1.0,133,0,0,8,0,0,0.0,0.375,0,0
74492349,tinchopepincho,0.008368200836820083,26.5,2,0.0,1.0,239,0,0,14,0,0,0.0,0.0,0,0
35633615,matkomiljevic,0.05128205128205128,13.0,2,0.0,1.0,39,0,0,13,0,0,0.0,0.0,0,0
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
